id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode
1,2219000,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,500178
2,5380000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,500125
3,1800000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,500028
4,6040000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,500136
5,5100000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,500074
6,12300000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,500053
7,2575000,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,500003
8,2918500,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,500198
9,2295000,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,500146
10,3230000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,500038
11,6625000,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,500007
12,4680000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,500115
13,3100000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,500028
14,4000000,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,500074
15,5300000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,500107
16,6500000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,500126
17,3950000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,500019
18,4850000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,500103
19,1890000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,500002
20,2300000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,500003
21,3850000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,500133
22,20000000,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,500040
23,2850000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,500092
24,2527000,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,500030
25,3290000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,500030
26,2330000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,500002
27,9370000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,500119
28,6670000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,500112
29,4380000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,500115
30,7190000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,500052
31,5805000,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,500027
32,2800000,NA,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,500133
33,6875000,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,500117
34,5350000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,500117
