"","price","bedrooms","bathrooms","sqft_lot","floors","waterfront","view","condition","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","zip_freq"
"1",2219000,3,1,5650,1,0,0,3,1180,0,64,64,500178,249
"2",5380000,3,2.25,7242,2,0,0,3,2170,400,68,28,500125,383
"3",1800000,2,1,10000,1,0,0,3,770,0,86,86,500028,252
"4",6040000,4,3,5000,1,0,0,5,1050,910,54,54,500136,226
"5",5100000,3,2,8080,1,0,0,3,1680,0,32,32,500074,405
"6",12300000,4,4.5,101930,1,0,0,3,3890,1530,18,18,500053,357
"7",2575000,3,2.25,6819,2,0,0,3,1715,0,24,24,500003,270
"8",2918500,3,1.5,9711,1,0,0,3,1060,0,56,56,500198,268
"9",2295000,3,1,7470,1,0,0,3,1050,730,59,59,500146,270
"10",3230000,3,2.5,6560,2,0,0,3,1890,0,16,16,500038,513
"11",6625000,3,2.5,9796,1,0,0,3,1860,1700,54,54,500007,140
"12",4680000,2,1,6000,1,0,0,4,860,300,77,77,500115,540
"13",3100000,3,1,19901,1.5,0,0,4,1430,0,92,92,500028,252
"14",4000000,3,1.75,9680,1,0,0,4,1370,0,42,42,500074,405
"15",5300000,5,2,4850,1.5,0,0,3,1810,0,119,119,500107,219
"16",6500000,4,3,5000,2,0,3,3,1980,970,40,40,500126,312
"17",3950000,3,2,14040,2,0,0,3,1890,0,25,25,500019,172
"18",4850000,4,1,4300,1.5,0,0,4,1600,0,103,103,500103,498
"19",1890000,2,1,9850,1,0,0,4,1200,0,98,98,500002,174
"20",2300000,3,1,9774,1,0,0,4,1250,0,50,50,500003,270
"21",3850000,4,1.75,4980,1,0,0,4,860,760,72,72,500133,453
"22",20000000,3,2.75,44867,1,0,4,3,2330,720,51,51,500040,271
"23",2850000,5,2.5,6300,2,0,0,3,2270,0,24,24,500092,312
"24",2527000,2,1.5,9643,1,0,0,3,1070,0,34,34,500030,229
"25",3290000,3,2.25,6500,2,0,0,4,2450,0,34,34,500030,229
