"","price","bedrooms","bathrooms","sqft_lot","floors","waterfront","view","condition","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode"
"1",2219000,3,1,5650,1,0,0,3,1180,0,64,64,"500178"
"2",5380000,3,2.25,7242,2,0,0,3,2170,400,68,28,"500125"
"3",1800000,2,1,10000,1,0,0,3,770,0,86,86,"500028"
"4",6040000,4,3,5000,1,0,0,5,1050,910,54,54,"500136"
"5",5100000,3,2,8080,1,0,0,3,1680,0,32,32,"500074"
"6",12300000,4,4.5,101930,1,0,0,3,3890,1530,18,18,"500053"
"7",2575000,3,2.25,6819,2,0,0,3,1715,0,24,24,"500003"
"8",2918500,3,1.5,9711,1,0,0,3,1060,0,56,56,"500198"
"9",2295000,3,1,7470,1,0,0,3,1050,730,59,59,"500146"
"10",3230000,3,2.5,6560,2,0,0,3,1890,0,16,16,"500038"
"11",6625000,3,2.5,9796,1,0,0,3,1860,1700,54,54,"500007"
"12",4680000,2,1,6000,1,0,0,4,860,300,77,77,"500115"
"13",3100000,3,1,19901,1.5,0,0,4,1430,0,92,92,"500028"
"14",4000000,3,1.75,9680,1,0,0,4,1370,0,42,42,"500074"
"15",5300000,5,2,4850,1.5,0,0,3,1810,0,119,119,"500107"
"16",6500000,4,3,5000,2,0,3,3,1980,970,40,40,"500126"
"17",3950000,3,2,14040,2,0,0,3,1890,0,25,25,"500019"
"18",4850000,4,1,4300,1.5,0,0,4,1600,0,103,103,"500103"
"19",1890000,2,1,9850,1,0,0,4,1200,0,98,98,"500002"
"20",2300000,3,1,9774,1,0,0,4,1250,0,50,50,"500003"
"21",3850000,4,1.75,4980,1,0,0,4,860,760,72,72,"500133"
"22",20000000,3,2.75,44867,1,0,4,3,2330,720,51,51,"500040"
"23",2850000,5,2.5,6300,2,0,0,3,2270,0,24,24,"500092"
"24",2527000,2,1.5,9643,1,0,0,3,1070,0,34,34,"500030"
"25",3290000,3,2.25,6500,2,0,0,4,2450,0,34,34,"500030"
"26",2330000,3,2,4697,1.5,0,0,5,1710,0,78,78,"500002"
"27",9370000,3,1.75,2691,2,0,0,3,1750,700,104,104,"500119"
"28",6670000,3,1,1581,1.5,0,0,5,1400,0,110,110,"500112"
"29",4380000,3,1.75,6380,1,0,0,3,790,730,71,71,"500115"
"30",7190000,4,2.5,7173,2,0,0,3,2570,0,14,14,"500052"
"31",5805000,3,2.5,3980,2,0,0,3,2320,0,16,16,"500027"
"32",2800000,2,1.5,1265,3,0,0,3,1190,0,14,14,"500133"
"33",6875000,4,1.75,5000,1.5,0,0,4,1510,820,90,90,"500117"
"34",5350000,3,1,3000,1.5,0,0,4,1090,0,90,90,"500117"
"35",3225000,4,2.75,6659,1,0,0,3,1280,780,38,38,"500058"
"36",6960000,3,2.5,3060,1.5,0,0,3,1510,790,89,17,"500115"
"37",5500000,4,1,34848,1,0,0,1,930,730,86,86,"500052"
"38",6400000,4,2,6000,2,0,0,4,2360,0,115,115,"500107"
"39",2400000,4,1,8075,1,0,0,2,890,330,50,50,"500001"
"40",6050000,4,2.5,7553,2,0,0,3,2620,0,23,23,"500056"
"41",6250000,4,2.5,5520,2,0,0,3,2570,0,19,19,"500074"
"42",7750000,4,2.25,24186,1,0,0,3,2600,1620,35,35,"500166"
"43",8619900,5,2.75,5639,2,0,0,3,3595,0,5,5,"500053"
"44",6850000,3,1,2280,2,0,0,3,1570,0,97,97,"500119"
"45",3090000,3,1,9656,1,0,0,4,920,360,60,60,"500058"
"46",4880000,3,2.5,13603,2,0,0,3,3160,0,16,16,"500019"
"47",2104900,3,1,8528,1,0,0,3,990,0,53,53,"500023"
"48",7850000,4,2.5,13416,2,0,0,4,2290,0,38,38,"500007"
"49",4500000,3,1.75,5963,1,0,0,4,1250,0,66,66,"500115"
"50",13500000,3,2.5,65005,1,1,2,5,2165,588,66,66,"500070"
"51",2280000,3,1,9199,1,0,0,3,1190,0,64,64,"500148"
"52",3450000,5,2.5,9134,1,0,0,4,1640,1510,53,53,"500056"
"53",6000000,3,1.75,4080,1,0,0,4,1000,410,69,69,"500117"
"54",5850000,2,1.75,8550,1,0,0,3,990,990,38,38,"500117"
"55",9200000,5,2.25,6000,1.5,0,0,3,2130,600,92,92,"500105"
"56",8850000,4,2.5,5000,2,0,0,3,2830,0,24,24,"500105"
"57",2925000,4,2.5,4495,2,0,0,3,2250,0,11,11,"500042"
"58",3010000,3,2.5,4750,2,0,0,3,2420,0,16,16,"500042"
"59",9510000,5,3.25,14342,2,0,4,4,3250,0,51,51,"500008"
"60",4300000,4,3,9976,2,0,0,3,1850,0,28,28,"500059"
"61",6500000,3,2.25,21235,1,0,3,4,1590,560,60,60,"500166"
"62",2890000,3,1.75,8400,1,0,0,3,1260,0,65,65,"500148"
"63",5050000,3,1.75,8690,2,0,0,5,2519,0,46,46,"500166"
"64",5490000,3,1.75,1044,3,0,0,3,1540,0,5,5,"500115"
"65",4250000,3,2.25,6000,1,0,0,3,1110,550,40,40,"500122"
"66",3176250,3,2.75,3809,1.5,0,0,5,1770,1000,94,94,"500144"
"67",9750000,4,2.5,11049,2,0,0,3,2720,0,30,30,"500004"
"68",2870000,4,2.5,4648,2,0,0,3,2240,0,14,14,"500001"
"69",2040000,3,1,12070,1,0,0,4,1000,0,51,51,"500042"
"70",13300000,5,2.25,20158,1,0,0,3,1600,1600,54,54,"500004"
"71",10400000,5,3.25,50094,1,0,0,4,3070,1700,46,46,"500005"
"72",3250000,3,2,5612,1,0,0,4,1260,0,47,47,"500034"
"73",5710000,4,2,7807,1.5,0,0,5,2250,500,103,103,"500125"
"74",3490000,3,1.75,50529,1,0,0,5,1090,700,54,54,"500042"
"75",8325000,4,4,35102,2,0,0,4,2390,1040,33,33,"500075"
"76",3800000,4,1.75,7300,1,0,0,3,880,880,63,63,"500008"
"77",4800000,3,1,5060,1,0,0,3,1040,0,78,78,"500116"
"78",4100000,3,1,5060,1,0,0,4,910,500,63,63,"500133"
"79",7200000,4,2.5,39683,2,0,0,3,3450,0,17,17,"500010"
"80",3600000,4,2.5,5889,2,0,0,3,1900,0,27,27,"500038"
"81",3550000,2,1,6720,1,0,0,3,1010,1010,71,71,"500118"
"82",3560000,3,1.5,8712,1,0,0,3,1680,0,55,55,"500059"
"83",3150000,3,1,6634,1,0,0,3,960,0,67,67,"500125"
"84",9400000,3,1.5,3600,2,0,0,3,1900,240,94,94,"500119"
"85",3050000,5,2.25,8400,1.5,0,0,5,2660,0,58,58,"500092"
"86",4610000,3,3.25,6278,2,0,0,3,1980,790,13,13,"500056"
"87",2150000,2,2.25,2040,2,0,0,4,1610,0,40,40,"500056"
"88",3350000,2,1.75,1066,2,0,0,3,765,265,13,13,"500136"
"89",2435000,4,2.5,7403,2,0,0,3,1980,0,31,31,"500023"
"90",11000000,5,2.75,6353,2,0,0,4,3520,0,18,18,"500199"
"91",1530000,3,1,10500,1,0,0,3,1200,0,57,57,"500023"
"92",4300000,3,1.5,5000,1,0,0,3,1290,290,80,80,"500117"
"93",7000000,3,1.5,5000,1,0,0,3,1290,290,80,80,"500117"
"94",9050000,4,2.5,10250,1,0,0,3,2390,910,73,28,"500040"
"95",2475000,3,1.75,15681,1,0,0,3,1960,0,52,52,"500032"
"96",1990000,4,1.5,6400,1,0,0,4,1160,0,44,44,"500023"
"97",3140000,3,1.75,41800,1,0,0,5,1210,600,39,39,"500038"
"98",4375000,3,2.5,36847,2,0,2,3,2320,0,27,27,"500045"
"99",8508300,3,2.5,13241,1.5,0,0,5,1270,800,109,109,"500102"
"100",6999500,3,2.25,107593,2,0,0,4,2190,0,36,36,"500077"
"101",10900000,3,2.5,8113,2,0,0,3,2920,0,69,9,"500004"
"102",2900000,3,1,33919,1,0,0,3,1210,0,65,65,"500058"
"103",3750000,3,2.5,10005,1,0,0,4,1460,880,41,41,"500058"
"104",4600000,3,1,4005,1.5,0,0,4,1170,500,80,80,"500117"
"105",1885000,2,1.75,2493,1,0,0,4,1240,0,34,34,"500198"
"106",6800000,4,2.5,28037,2,0,0,4,3140,0,28,28,"500077"
"107",4700000,5,1.75,12342,2,0,0,4,2030,0,77,77,"500052"
"108",5977500,4,2.5,9624,2,0,0,3,2310,0,35,35,"500027"
"109",5700000,3,1.75,3328,1,0,0,5,700,560,114,114,"500103"
"110",2725000,3,1.75,12600,1,0,0,4,1160,380,39,39,"500038"
"111",3299500,3,1.75,5969,1,0,2,3,1080,1000,48,48,"500108"
"112",4800000,4,2.5,16171,2,0,3,3,2520,710,18,18,"500001"
"113",7405000,3,3.5,6350,2,0,0,3,2780,1600,119,20,"500117"
"114",5185000,3,3.5,1102,3,0,0,3,1590,0,9,9,"500103"
"115",2054250,2,1,6780,1,0,0,4,880,0,74,74,"500178"
"116",1718000,4,2,9600,1,0,0,3,1570,0,69,69,"500168"
